Name,Rating,Status,Opening/Closing Time,Venue Type,Url
Otantik Türkü Bar,"3,6 yıldızlı 573 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Otantik+T%C3%BCrk%C3%BC+Bar/data=!4m7!3m6!1s0x14cab765d0e80813:0x499d2f8cd5145570!8m2!3d41.0348738!4d28.9782535!16s%2Fg%2F1thwlq2y!19sChIJEwjo0GW3yhQRcFUU1YwvnUk?authuser=0&hl=tr&rclk=1
Pinokyo Terrace Club,"4,1 yıldızlı 788 Yorum",Açık,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/Pinokyo+Terrace+Club/data=!4m7!3m6!1s0x14cab76146fb163b:0xea55b21d7b1674a7!8m2!3d41.0346709!4d28.9825934!16s%2Fg%2F1v3wh2g9!19sChIJOxb7RmG3yhQRp3QWex2yVeo?authuser=0&hl=tr&rclk=1
Pacific House,"4,3 yıldızlı 123 Yorum",Kapalı,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Pacific+House/data=!4m7!3m6!1s0x14cab9e0f308c2c1:0x23dac603a607ca96!8m2!3d41.0298406!4d28.9745394!16s%2Fg%2F1tggdg_q!19sChIJwcII8-C5yhQRlsoHpgPG2iM?authuser=0&hl=tr&rclk=1
Geyik,"4,4 yıldızlı 743 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Geyik/data=!4m7!3m6!1s0x14cab762129b11b3:0x58e794e84be24c44!8m2!3d41.0303462!4d28.9838084!16s%2Fg%2F1hc5ggf2l!19sChIJsxGbEmK3yhQRREziS-iU51g?authuser=0&hl=tr&rclk=1
Bodega Cafe & Pub,"4,1 yıldızlı 113 Yorum",Açık,⋅ Kapanış saati: 02:00,Pub,https://www.google.com/maps/place/Bodega+Cafe+%26+Pub/data=!4m7!3m6!1s0x14cab749d6d34cab:0x800b9a34d49f67b4!8m2!3d41.0358375!4d28.9816629!16s%2Fg%2F11f7r5_1t7!19sChIJq0zT1km3yhQRtGef1DSaC4A?authuser=0&hl=tr&rclk=1
The Red Balloon Restoran & Bar,"4,7 yıldızlı 401 Yorum",Açık,⋅ Açılış saati: 21:00,Restoran,https://www.google.com/maps/place/The+Red+Balloon+Restoran+%26+Bar/data=!4m7!3m6!1s0x14cacb245fc93089:0x32a7320e134677f2!8m2!3d41.028916!4d28.974298!16s%2Fg%2F11swmjzx0y!19sChIJiTDJXyTLyhQR8ndGEw4ypzI?authuser=0&hl=tr&rclk=1
Harmony Hilltop bar,"4,9 yıldızlı 699 Yorum",Kapalı,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Harmony+Hilltop+bar/data=!4m7!3m6!1s0x14cab94f130b5503:0xa3ef2329b7ce0791!8m2!3d41.01312!4d28.977742!16s%2Fg%2F11t2vp83lb!19sChIJA1ULE0-5yhQRkQfOtykj76M?authuser=0&hl=tr&rclk=1
Riot Pub,"4,5 yıldızlı 2 Yorum",Kapalı,⋅ Açılış saati: 20:00,Pub,https://www.google.com/maps/place/Riot+Pub/data=!4m7!3m6!1s0x14cab76145900695:0x2574ae690e080081!8m2!3d41.0347372!4d28.9810182!16s%2Fg%2F11j00s38gc!19sChIJlQaQRWG3yhQRgQAIDmmudCU?authuser=0&hl=tr&rclk=1
Eskici pera,"3,7 yıldızlı 353 Yorum",Kapalı,⋅ Kapanış saati: 02:30,Bar,https://www.google.com/maps/place/Eskici+pera/data=!4m7!3m6!1s0x14cab91ea1ea53fb:0xba71e5953c58c43f!8m2!3d41.0286529!4d28.9745297!16s%2Fg%2F11fkhmfrw9!19sChIJ-1PqoR65yhQRP8RYPJXlcbo?authuser=0&hl=tr&rclk=1
Taksim Sahra Club,"3,2 yıldızlı 103 Yorum",Açık,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Taksim+Sahra+Club/data=!4m7!3m6!1s0x14cab761635bcc1f:0xdded0f485440d621!8m2!3d41.033495!4d28.9816358!16s%2Fg%2F1td7qj53!19sChIJH8xbY2G3yhQRIdZAVEgP7d0?authuser=0&hl=tr&rclk=1
Toprak Sahne - Taksim,"3,9 yıldızlı 117 Yorum",Açık,⋅ Açılış saati: 18:00,Canlı Müzik Olan Bar,https://www.google.com/maps/place/Toprak+Sahne+-+Taksim/data=!4m7!3m6!1s0x14cab76156b9d54f:0x4739c0f0cac50e0a!8m2!3d41.0346061!4d28.9826603!16s%2Fg%2F1tmmhpdb!19sChIJT9W5VmG3yhQRCg7FyvDAOUc?authuser=0&hl=tr&rclk=1
Novo,"4,3 yıldızlı 210 Yorum",Kapalı,⋅ Açılış saati: 18:00,Bar,https://www.google.com/maps/place/Novo/data=!4m7!3m6!1s0x14cab9e0f324f333:0x498c6ad1626b280b!8m2!3d41.0296853!4d28.9745776!16s%2Fg%2F1ttl12nn!19sChIJM_Mk8-C5yhQRCyhrYtFqjEk?authuser=0&hl=tr&rclk=1
Corridor Pera Bar,"4,0 yıldızlı 685 Yorum",Kapalı,⋅ Açılış saati: 19:00,Bar,https://www.google.com/maps/place/Corridor+Pera+Bar/data=!4m7!3m6!1s0x14cab9e059bbf2af:0xded1fa131037f75!8m2!3d41.030506!4d28.9740897!16s%2Fg%2F11fy2pv8pk!19sChIJr_K7WeC5yhQRdX8DMaEf7Q0?authuser=0&hl=tr&rclk=1
Kulp,"3,8 yıldızlı 272 Yorum",Kapalı,⋅ Açılış saati: 22:00,Pub,https://www.google.com/maps/place/Kulp/data=!4m7!3m6!1s0x14cab9e0f0597143:0x82340e059c6c9e68!8m2!3d41.0298281!4d28.9743606!16s%2Fg%2F11gj4p_0md!19sChIJQ3FZ8OC5yhQRaJ5snAUONII?authuser=0&hl=tr&rclk=1
Orient Bar,"4,4 yıldızlı 101 Yorum",Kapalı,⋅ Açılış saati: 18:30,Bar,https://www.google.com/maps/place/Orient+Bar/data=!4m7!3m6!1s0x14cab75fee941025:0x74151a66f1d7ebfd!8m2!3d41.0311682!4d28.973728!16s%2Fg%2F1tf2hrsq!19sChIJJRCU7l-3yhQR_evX8WYaFXQ?authuser=0&hl=tr&rclk=1
Eskici Pub,"3,5 yıldızlı 220 Yorum",Kapalı,⋅ Açılış saati: 20:00,Pub,https://www.google.com/maps/place/Eskici+Pub/data=!4m7!3m6!1s0x14cab7042daba045:0x7ccca092af69ab76!8m2!3d41.0341126!4d28.9799143!16s%2Fg%2F11td3tck1c!19sChIJRaCrLQS3yhQRdqtpr5KgzHw?authuser=0&hl=tr&rclk=1
^,"3,4 yıldızlı 367 Yorum",Kapalı,⋅ Açılış saati: 18:00,Bar,https://www.google.com/maps/place/%5E/data=!4m7!3m6!1s0x14cab757acedf58d:0xd2bdbf80e6650bd7!8m2!3d41.0408853!4d28.9807023!16s%2Fg%2F11fzf1dq92!19sChIJjfXtrFe3yhQR1wtl5oC_vdI?authuser=0&hl=tr&rclk=1
Bigudi Club,"4,2 yıldızlı 216 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Bigudi+Club/data=!4m7!3m6!1s0x14cab76510e4c1d3:0x5980b388bc23847c!8m2!3d41.036548!4d28.981957!16s%2Fg%2F1ptyqnmwm!19sChIJ08HkEGW3yhQRfIQjvIizgFk?authuser=0&hl=tr&rclk=1
Mektup Beyoğlu,"3,8 yıldızlı 253 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Mektup+Beyo%C4%9Flu/data=!4m7!3m6!1s0x14cab766bb2465af:0x8120ec2932707c10!8m2!3d41.0359309!4d28.9812841!16s%2Fg%2F1tdv99d8!19sChIJr2Uku2a3yhQREHxwMinsIIE?authuser=0&hl=tr&rclk=1
CLUB NEXUS İSTANBUL,"4,7 yıldızlı 1.922 Yorum",Açık,⋅ Açılış saati: 15:00,Gece kulübü,https://www.google.com/maps/place/CLUB+NEXUS+%C4%B0STANBUL/data=!4m7!3m6!1s0x14cab760f48788a1:0xf95b0dd2b34d4dde!8m2!3d41.0340592!4d28.9778471!16s%2Fg%2F11j2yld8y4!19sChIJoYiH9GC3yhQR3k1Ns9INW_k?authuser=0&hl=tr&rclk=1
Upperist,"4,1 yıldızlı 349 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Upperist/data=!4m7!3m6!1s0x14cab72b28c647c9:0x6dc01303e8a23759!8m2!3d41.0363865!4d28.9864071!16s%2Fg%2F11kt4_0kgw!19sChIJyUfGKCu3yhQRWTei6AMTwG0?authuser=0&hl=tr&rclk=1
Micasa Teras,"4,5 yıldızlı 95 Yorum",Açık,⋅ Kapanış saati: 00:00,Bar,https://www.google.com/maps/place/Micasa+Teras/data=!4m7!3m6!1s0x14cab73d9d70286f:0x20cf80b89e8c9566!8m2!3d41.036467!4d28.9815456!16s%2Fg%2F11ghndnnf8!19sChIJbyhwnT23yhQRZpWMnriAzyA?authuser=0&hl=tr&rclk=1
Ninova Cafe Bar,"4,7 yıldızlı 78 Yorum",Açık,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/Ninova+Cafe+Bar/data=!4m7!3m6!1s0x14cab778a38398e3:0x3e9f984459e54b1e!8m2!3d41.0357857!4d28.9816694!16s%2Fg%2F11h4v7vjzw!19sChIJ45iDo3i3yhQRHkvlWUSYnz4?authuser=0&hl=tr&rclk=1
Leman Kültür Beyoğlu,"4,2 yıldızlı 335 Yorum",Kapalı,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Leman+K%C3%BClt%C3%BCr+Beyo%C4%9Flu/data=!4m7!3m6!1s0x14cab766b0203827:0x778cbf41f46940e9!8m2!3d41.0358018!4d28.9812621!16s%2Fg%2F11ddydpkns!19sChIJJzggsGa3yhQR6UBp9EG_jHc?authuser=0&hl=tr&rclk=1
Beer Time,"3,5 yıldızlı 181 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Beer+Time/data=!4m7!3m6!1s0x14cab9ddeb00a963:0x36a6735da5d3898!8m2!3d41.0350489!4d28.9821505!16s%2Fg%2F1ptw5ppq8!19sChIJY6kA6925yhQRmDhd2jVnagM?authuser=0&hl=tr&rclk=1
Arpa Pub & Bar,"4,1 yıldızlı 61 Yorum",Açık,⋅ Açılış saati: 16:00,Bar,https://www.google.com/maps/place/Arpa+Pub+%26+Bar/data=!4m7!3m6!1s0x14cab9e0c156349f:0x595b04c4c65781fd!8m2!3d41.0288401!4d28.9742872!16s%2Fg%2F1hhh2h5fj!19sChIJnzRWweC5yhQR_YFXxsQEW1k?authuser=0&hl=tr&rclk=1
Büyük Londra Oteli Teras Bar,"4,3 yıldızlı 452 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/B%C3%BCy%C3%BCk+Londra+Oteli+Teras+Bar/data=!4m7!3m6!1s0x14cab75ff6ef5027:0x534be2e8e56245cb!8m2!3d41.0325409!4d28.9752498!16s%2Fg%2F11fsn3cstp!19sChIJJ1Dv9l-3yhQRy0Vi5ejiS1M?authuser=0&hl=tr&rclk=1
The Red Balloon Restoran & Bar,"4,7 yıldızlı 401 Yorum",Açık,⋅ Kapanış saati: 04:00,Restoran,https://www.google.com/maps/place/The+Red+Balloon+Restoran+%26+Bar/data=!4m7!3m6!1s0x14cacb245fc93089:0x32a7320e134677f2!8m2!3d41.028916!4d28.974298!16s%2Fg%2F11swmjzx0y!19sChIJiTDJXyTLyhQR8ndGEw4ypzI?authuser=0&hl=tr&rclk=1
Harmony Hilltop bar,"4,9 yıldızlı 699 Yorum",Açık,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Harmony+Hilltop+bar/data=!4m7!3m6!1s0x14cab94f130b5503:0xa3ef2329b7ce0791!8m2!3d41.01312!4d28.977742!16s%2Fg%2F11t2vp83lb!19sChIJA1ULE0-5yhQRkQfOtykj76M?authuser=0&hl=tr&rclk=1
Aslanım Nevizade & Restorant,"4,1 yıldızlı 550 Yorum",Kapalı,⋅ Kapanış saati: 02:00,Restoran,https://www.google.com/maps/place/Aslan%C4%B1m+Nevizade+%26+Restorant/data=!4m7!3m6!1s0x14cab760ec7e3d51:0xc4265b49e2bdd751!8m2!3d41.0348252!4d28.9779104!16s%2Fg%2F1tgl67d0!19sChIJUT1-7GC3yhQRUde94klbJsQ?authuser=0&hl=tr&rclk=1
Zula Galata Rooftop Bar,"4,8 yıldızlı 380 Yorum",Açık,⋅ Açılış saati: 18:00,Kokteyl bar,https://www.google.com/maps/place/Zula+Galata+Rooftop+Bar/data=!4m7!3m6!1s0x14cab9131ad59e77:0xf4761f4769c70ba4!8m2!3d41.0258719!4d28.9723579!16s%2Fg%2F11ffw712d0!19sChIJd57VGhO5yhQRpAvHaUcfdvQ?authuser=0&hl=tr&rclk=1
La Fée,"4,5 yıldızlı 646 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/La+F%C3%A9e/data=!4m7!3m6!1s0x14cab761d4d0ae83:0x55321cf870cf623e!8m2!3d41.0313722!4d28.9791096!16s%2Fg%2F1tfz7hy2!19sChIJg67Q1GG3yhQRPmLPcPgcMlU?authuser=0&hl=tr&rclk=1
Darkness,"3,2 yıldızlı 66 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Darkness/data=!4m7!3m6!1s0x14cab766b41946b1:0x2443bb1944a22995!8m2!3d41.0357155!4d28.9807976!16s%2Fg%2F1vk486sp!19sChIJsUYZtGa3yhQRlSmiRBm7QyQ?authuser=0&hl=tr&rclk=1
My Moon Karaoke Bar,"3,5 yıldızlı 200 Yorum",Açık,⋅ Açılış saati: 15:00,Karaoke bar,https://www.google.com/maps/place/My+Moon+Karaoke+Bar/data=!4m7!3m6!1s0x14cab7641ebfee0f:0x7d6b91f761660eca!8m2!3d41.0361586!4d28.9822766!16s%2Fg%2F1hc2xcgkd!19sChIJD-6_HmS3yhQRyg5mYfeRa30?authuser=0&hl=tr&rclk=1
Yan Gastro Bar,"4,3 yıldızlı 40 Yorum",Kapalı,⋅ Açılış saati: 21:00,Yemekli bar,https://www.google.com/maps/place/Yan+Gastro+Bar/data=!4m7!3m6!1s0x14cab7639bd9e74f:0xe418bd3a65baf9e2!8m2!3d41.0336004!4d28.9846001!16s%2Fg%2F1tg_19rb!19sChIJT-fZm2O3yhQR4vm6ZTq9GOQ?authuser=0&hl=tr&rclk=1
monkeyistanbul,"3,6 yıldızlı 1.134 Yorum",Kapalı,⋅ Açılış saati: 23:00,Kokteyl bar,https://www.google.com/maps/place/monkeyistanbul/data=!4m7!3m6!1s0x14cab9b886b94f97:0x978335e52cb33f74!8m2!3d41.0283651!4d28.9718488!16s%2Fg%2F11g0vwvl_3!19sChIJl0-5hri5yhQRdD-zLOU1g5c?authuser=0&hl=tr&rclk=1
Montreal Nevizade,"4,0 yıldızlı 592 Yorum",Kapalı,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Montreal+Nevizade/data=!4m7!3m6!1s0x14cab760eb85d96f:0xc57b4d0f858dafbe!8m2!3d41.034802!4d28.977827!16s%2Fg%2F11f120_vpp!19sChIJb9mF62C3yhQRvq-NhQ9Ne8U?authuser=0&hl=tr&rclk=1
Öğrenci Kulübü Cafe&Bar,"4,3 yıldızlı 231 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/%C3%96%C4%9Frenci+Kul%C3%BCb%C3%BC+Cafe%26Bar/data=!4m7!3m6!1s0x14cab766ad87dfe7:0x52022df2d1e5a34!8m2!3d41.0350729!4d28.9828012!16s%2Fg%2F11c2lrzv5s!19sChIJ59-HrWa3yhQRNFoeLd8iIAU?authuser=0&hl=tr&rclk=1
Bova Jazz Club,"4,6 yıldızlı 858 Yorum",Açık,⋅ Açılış saati: 19:00,Caz,https://www.google.com/maps/place/Bova+Jazz+Club/data=!4m7!3m6!1s0x14cab766a4081f4f:0x81436739d60da73b!8m2!3d41.0360995!4d28.9815485!16s%2Fg%2F11gbxd0tgr!19sChIJTx8IpGa3yhQRO6cN1jlnQ4E?authuser=0&hl=tr&rclk=1
Gizli Bahçe,"3,9 yıldızlı 667 Yorum",Kapalı,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/Gizli+Bah%C3%A7e/data=!4m7!3m6!1s0x14cab760ecc9ed5d:0x9bac96ec626abd75!8m2!3d41.0349203!4d28.977859!16s%2Fg%2F1hc5jxk0m!19sChIJXe3J7GC3yhQRdb1qYuyWrJs?authuser=0&hl=tr&rclk=1
Fly Pera Live Music Club,"4,0 yıldızlı 222 Yorum",Kapalı,⋅ Kapanış saati: 00:00,Bar,https://www.google.com/maps/place/Fly+Pera+Live+Music+Club/data=!4m7!3m6!1s0x14cab7641f12a60d:0xc13cbc629f51ce5c!8m2!3d41.030086!4d28.9745541!16s%2Fg%2F1td3_5rw!19sChIJDaYSH2S3yhQRXM5Rn2K8PME?authuser=0&hl=tr&rclk=1
Cheeky Club İstanbul,"2,9 yıldızlı 144 Yorum",Açık,⋅ Açılış saati: 15:00,Gay Bar,https://www.google.com/maps/place/Cheeky+Club+%C4%B0stanbul/data=!4m7!3m6!1s0x14cab766cda232dd:0x21d69e72a07766d7!8m2!3d41.0374981!4d28.9833563!16s%2Fg%2F1hc0r_bzw!19sChIJ3TKizWa3yhQR12Z3oHKe1iE?authuser=0&hl=tr&rclk=1
Morkedi Gay Cafe,"3,9 yıldızlı 263 Yorum",Kapalı,⋅ Kapanış saati: 03:00,Kafe,https://www.google.com/maps/place/Morkedi+Gay+Cafe/data=!4m7!3m6!1s0x14cab766ad38aa01:0x1c33228e912d6482!8m2!3d41.035109!4d28.982938!16s%2Fg%2F1vl5d2vg!19sChIJAao4rWa3yhQRgmQtkY4iMxw?authuser=0&hl=tr&rclk=1
Çilem Bar,"4,4 yıldızlı 5 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/%C3%87ilem+Bar/data=!4m7!3m6!1s0x14cab766bb5bd68f:0x13ef222532d41f9!8m2!3d41.0361037!4d28.9812218!16s%2Fg%2F1tl6n3wm!19sChIJj9Zbu2a3yhQR-UEtUyLyPgE?authuser=0&hl=tr&rclk=1
Show Türkü Bar,"4,5 yıldızlı 23 Yorum",Açık,⋅ Açılış saati: 20:30,Bar,https://www.google.com/maps/place/Show+T%C3%BCrk%C3%BC+Bar/data=!4m7!3m6!1s0x14cab7e3e1fba0fb:0x8701bbccdb743220!8m2!3d41.0352063!4d28.9773337!16s%2Fg%2F11qn3znxf9!19sChIJ-6D74eO3yhQRIDJ028y7AYc?authuser=0&hl=tr&rclk=1
Sheva Karaoke Pub Bar,"4,1 yıldızlı 39 Yorum",Kapalı,⋅ Açılış saati: 15:00,Karaoke bar,https://www.google.com/maps/place/Sheva+Karaoke+Pub+Bar/data=!4m7!3m6!1s0x14cab7641f3b1fd3:0x13aeced7d2709acf!8m2!3d41.0360325!4d28.9822256!16s%2Fg%2F11g7zwgtbh!19sChIJ0x87H2S3yhQRz5pw0tfOrhM?authuser=0&hl=tr&rclk=1
The Junction Restaurant & Bar,"3,7 yıldızlı 14 Yorum",Kapalı,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/The+Junction+Restaurant+%26+Bar/data=!4m7!3m6!1s0x14cab9e04381eef1:0x3295d066d6923c80!8m2!3d41.0310938!4d28.9745828!16s%2Fg%2F1tz7r3zf!19sChIJ8e6BQ-C5yhQRgDyS1mbQlTI?authuser=0&hl=tr&rclk=1
Havar túrkü evi,"4,0 yıldızlı 105 Yorum",Açık,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Havar+t%C3%BArk%C3%BC+evi/data=!4m7!3m6!1s0x14cab7614462fa9f:0x604fca37983ad26f!8m2!3d41.0344542!4d28.9809563!16s%2Fg%2F1tfz7hy1!19sChIJn_piRGG3yhQRb9I6mDfKT2A?authuser=0&hl=tr&rclk=1
Ninkasiasmali,"4,1 yıldızlı 90 Yorum",Kapalı,-,Bar,https://www.google.com/maps/place/Ninkasiasmali/data=!4m7!3m6!1s0x14cab95e4f55e171:0x47b604352d08ba94!8m2!3d41.0294557!4d28.9743025!16s%2Fg%2F11h3wljbyf!19sChIJceFVT165yhQRlLoILTUEtkc?authuser=0&hl=tr&rclk=1
Rosso Cafe & Karaoke Bar,"3,7 yıldızlı 246 Yorum",-,-,Karaoke bar,https://www.google.com/maps/place/Rosso+Cafe+%26+Karaoke+Bar/data=!4m7!3m6!1s0x14cab76116ecea43:0xc275ea2076ef21d4!8m2!3d41.035588!4d28.978246!16s%2Fg%2F11dyqycwy3!19sChIJQ-rsFmG3yhQR1CHvdiDqdcI?authuser=0&hl=tr&rclk=1
Nardis Jazz Club,"4,5 yıldızlı 1.611 Yorum",-,-,Caz,https://www.google.com/maps/place/Nardis+Jazz+Club/data=!4m7!3m6!1s0x14cac83986843ae1:0x49e70e32eb635a5f!8m2!3d41.0253208!4d28.973901!16s%2Fg%2F1hhk6hd2d!19sChIJ4TqEhjnIyhQRX1pj6zIO50k?authuser=0&hl=tr&rclk=1
Litera Restaurant / Lounge-Bar,"4,5 yıldızlı 924 Yorum",-,-,Restoran,https://www.google.com/maps/place/Litera+Restaurant+%2F+Lounge-Bar/data=!4m7!3m6!1s0x14cab76039512f3d:0x37ef49716a1d54e2!8m2!3d41.0323827!4d28.9778979!16s%2Fg%2F1tdv9m6n!19sChIJPS9ROWC3yhQR4lQdanFJ7zc?authuser=0&hl=tr&rclk=1
The Beatles Cafe,"4,0 yıldızlı 49 Yorum",-,-,Pub,https://www.google.com/maps/place/The+Beatles+Cafe/data=!4m7!3m6!1s0x14cab76134bc6953:0x5961e044bbae3416!8m2!3d41.0355205!4d28.9801304!16s%2Fg%2F1pp2wz1df!19sChIJU2m8NGG3yhQRFjSuu0TgYVk?authuser=0&hl=tr&rclk=1
Aurapera Karaoke Bar,"3,1 yıldızlı 103 Yorum",-,-,Karaoke bar,https://www.google.com/maps/place/Aurapera+Karaoke+Bar/data=!4m7!3m6!1s0x14cab760c32e2fbd:0x3af03454a230d8e6!8m2!3d41.0350248!4d28.9784158!16s%2Fg%2F1tk3d648!19sChIJvS8uw2C3yhQR5tgwolQ08Do?authuser=0&hl=tr&rclk=1
Snog Roof Bar,"4,1 yıldızlı 753 Yorum",-,-,Bar,https://www.google.com/maps/place/Snog+Roof+Bar/data=!4m7!3m6!1s0x14cab9e7145f183d:0x1a1622ce7f547809!8m2!3d41.0265784!4d28.9744557!16s%2Fg%2F11g7z9hwj6!19sChIJPRhfFOe5yhQRCXhUf84iFho?authuser=0&hl=tr&rclk=1
Simone Bar Food Wine,"4,7 yıldızlı 591 Yorum",-,-,Bar,https://www.google.com/maps/place/Simone+Bar+Food+Wine/data=!4m7!3m6!1s0x14cab9742c4ea055:0xe77698d111dfd744!8m2!3d41.0289641!4d28.9743228!16s%2Fg%2F11pzyt2vww!19sChIJVaBOLHS5yhQRRNffEdGYduc?authuser=0&hl=tr&rclk=1
